,Mirc56_01,Mirc56_02,Mirc56_03,Mirc56_04,Mirc56_05,Mirc56_06,Mirc56_07,Mirc56_08,Mirc56_09,Mirc56_10,Mirc56_11,Mirc56_12,Mirc56_13,Mirc56_14,Mirc56_15,Mirc56_16,Mirc56_17
PB_single2_094,0.004213798,0,0.000304419,1.60E-05,0.000144198,8.01E-05,0.000176243,0.002723748,0.000128176,0.000336463,0.006649149,0.002307175,1,1.60E-05,0.001810491,0.000192265,0.003620982
PB_single2_095,0.010469306,0,0.000158626,6.80E-05,0.00027193,6.80E-05,0.000113304,1,0.000158626,0.000566521,0.008701761,0.005642548,0.000725147,4.53E-05,0.00786331,0.000362573,0.027714202
PB_single2_096,1,0,0.000170629,0.000511887,0.474007508,0.001308156,0.514560346,0.497724946,0.365203049,0.001592538,0.001820043,0.001763167,0.000113753,0.001365032,0.000796269,0.000682516,0.386986691
PB_single2_098,0.012447194,0,0.000452625,0.000452625,0.001131563,0.000980688,1,0.003545564,0.001282438,0.003470127,0.018180447,0.000754375,0.00030175,0.00090525,0.000678938,0.847314424,0.838111044
PB_single2_101,0.010270556,0,0.000352133,0.000939022,0.000352133,0.0005282,0.0010564,0.001701978,0.000586889,0.001525911,0.009390222,0.872058219,0.000117378,0.001291156,0.744468572,1,0.887317331
PB_single2_102,0.013157101,0,0.000120707,0.000140825,0.00591466,6.04E-05,0.000181061,0.016778321,6.04E-05,0.000502947,0.01879011,0.000261533,0,1,0.000201179,0.005894542,0.019474118
PB_single2_103,0.003177069,0,0.000423609,0.000423609,0.001270827,0.513061282,0.002612256,1,0.000776617,0.00141203,0.006212934,0.474371646,0.000141203,0.000847218,0.432787348,0.202273369,0.003671279
PB_single2_104,1,0,0,0.000580889,0.000638978,0.000290444,0.007667732,0.000697067,0.906767354,0.487656114,0.008829509,0.000290444,0.000348533,0.000697067,0.002846355,0.000871333,0.026139994
PB_single2_106,0.372509323,0,0.237826319,0.20426212,0.607032499,1,0.208737347,0.591049547,0.750026638,0.386361215,0.205007991,0.619499201,0.531699521,0.233670751,0.386041556,0.213212573,0.588492275
PB_single2_107,0.015572342,0.005152043,0.000116212,0.983381755,0.003951191,0.000154949,0.00027116,0.000503583,0.00054232,1,0.04350184,0.000116212,0.000193686,0.000309897,0.00027116,0.000503583,0.018865001
PB_single2_109,0.004320882,0,0.001250782,0.000170561,0.000170561,0.849394508,0.002899539,0.964182159,1,0.003013247,0.01085906,0.000170561,0.001876173,0.000170561,5.69E-05,0.004150321,0.014327136
PB_single1_001,1,0.007445342,0.003348434,0.458183967,0.408627142,0.002599961,0.004569628,0.009336222,0.000669687,0.006224148,0.008627142,0.000393933,0.463344495,0.003702974,0.588969864,0.006105968,0.012645263
PB_single1_003,0.027369884,0.213485099,0.269006864,0.000130333,0.001172995,0.000173777,0.239638544,0.000217221,0.376965853,0.52498045,0.527847771,0.000217221,1,0.410417934,0.297071857,0.246155183,0.345729429
PB_single1_005,0.001139154,2.53E-05,0.000101258,0.000202516,0.001037896,0.000151887,0.005493254,0.751082196,0.000101258,0.000329089,1,0.780092651,0.002987115,0.00027846,0.000303774,0.001417614,0.000202516
PB_single1_009,0.004157746,0,0,0.00015514,0.486052934,0.001861677,0.002761488,0.000589531,0,0.003506159,0.000992895,0.000465419,0.000558503,0.534301406,0.000589531,1,0.495330293
PB_single1_010,0.003704568,0,0,5.83E-05,0.000525057,0.000204189,0.001837699,0.000291698,0.000145849,0.844816522,1,0.000291698,0.000350038,0.000204189,0.000262528,0.001312642,0.826206172
PB_single1_012,0.27643121,1,0.122633887,0.42826639,0.872922438,0.382733149,0.086969067,0.452100646,0.00017313,0.477550785,0.263561865,0.056209603,0.655759464,0.00017313,0.00023084,0.46439289,0.374365189
PB_single1_016,1,0,0.000164586,0,0.000235123,0.000423221,0.000869954,0.325386189,0.000376196,0.002515812,0.984387858,0.001128589,2.35E-05,0,0.000634831,0.000681856,0.001199125
PB_single1_020,0.00877753,0,0.000319183,5.32E-05,0.852856687,0.000638366,0.000638366,0.834184488,0.983083307,0.809181828,1,0.000212789,0.000638366,0,0.000585169,0.955048409,0.001755506
PB_single1_021,0.529865125,0,0.000909869,0.000374652,1,0.000481696,0.001873261,0.000214087,0.485923785,0.001766217,0.004977521,0.000428174,0.583119246,0,0.456700921,0.000963391,0.866730893
PB_single1_022,1,0,8.14E-05,8.14E-05,0.301530446,0.001953761,0.002442201,0.320742429,0.00024422,0.390833605,0.294529469,0.373656789,0.000569847,0,0.663871703,0.735835233,0.741370889
PB_single1_023,0.003250711,0,0.000143414,4.78E-05,1,0.515978679,0.712981332,9.56E-05,0.000334632,0.000669264,0.000884385,0.000239023,0.000358534,0,0.000334632,0.000334632,0.000215121
